player_id,season,name,firstname,lastname,nationality,photo,team,position,age,appearances,minutes,goals,assists,market_value_eur
292,2023,J. Henderson,Jordan Brian,Henderson,England,https://media.api-sports.io/football/players/292.png,Liverpool,Midfielder,33,0,0,0,0,4700000.0
293,2023,C. Jones,Curtis Julian,Jones,England,https://media.api-sports.io/football/players/293.png,Liverpool,Midfielder,22,27,1165,1,1,13300000.0
295,2023,A. Lallana,Adam David,Lallana,England,https://media.api-sports.io/football/players/295.png,Brighton,Midfielder,35,25,850,0,1,3800000.0
296,2023,J. Milner,James Philip,Milner,England,https://media.api-sports.io/football/players/296.png,Brighton,Midfielder,37,17,778,0,2,2900000.0
297,2023,A. Oxlade-Chamberlain,Alexander Mark David,Oxlade-Chamberlain,England,https://media.api-sports.io/football/players/297.png,Liverpool,Midfielder,29,0,0,0,0,4900000.0
299,2023,Fabinho,Fábio Henrique,Tavares,Brazil,https://media.api-sports.io/football/players/299.png,Liverpool,Midfielder,29,0,0,0,0,8700000.0
306,2023,Mohamed Salah,Mohamed,Salah Hamed Mahrous Ghaly,Egypt,https://media.api-sports.io/football/players/306.png,Liverpool,Attacker,31,32,2535,18,10,81800000.0
378,2023,Alex Telles,Alex,Nicolao Telles,Brazil,https://media.api-sports.io/football/players/378.png,Manchester United,Defender,30,0,0,0,0,3700000.0
507,2023,Thiago Alcântara,Thiago,Alcântara do Nascimento,Spain,https://media.api-sports.io/football/players/507.png,Liverpool,Midfielder,32,1,5,0,0,4400000.0
537,2023,J. Veltman,Joël Ivo,Veltman,Netherlands,https://media.api-sports.io/football/players/537.png,Brighton,Defender,31,29,1591,1,1,9200000.0
542,2023,R. Gravenberch,Ryan Jiro,Gravenberch,Netherlands,https://media.api-sports.io/football/players/542.png,Liverpool,Midfielder,21,31,1138,1,0,12100000.0
547,2023,D. van de Beek,Donny,van de Beek,Netherlands,https://media.api-sports.io/football/players/547.png,Manchester United,Midfielder,26,1,2,0,0,6800000.0
557,2023,O. Vlachodimos,Odysseas,Vlachodimos,Greece,https://media.api-sports.io/football/players/557.png,Newcastle,Goalkeeper,29,19,450,0,0,2000000.0
567,2023,Rúben Dias,Rúben,dos Santos Gato Alves Dias,Portugal,https://media.api-sports.io/football/players/567.png,Manchester City,Defender,26,30,2557,0,0,17300000.0
616,2023,A. Murić,Arijanet,Murić,Kosovo,https://media.api-sports.io/football/players/616.png,Burnley,Goalkeeper,24,10,900,0,0,5100000.0
617,2023,Ederson,Ederson,Santana de Moraes,Brazil,https://media.api-sports.io/football/players/617.png,Manchester City,Goalkeeper,29,33,2788,0,0,7300000.0
622,2023,Aymeric Laporte,Aymeric Jean Louis Gérard Alph,Laporte,Spain,https://media.api-sports.io/football/players/622.png,Manchester City,Defender,29,1,11,0,0,4200000.0
626,2023,J. Stones,John,Stones,England,https://media.api-sports.io/football/players/626.png,Manchester City,Defender,29,27,1064,1,0,15800000.0
627,2023,K. Walker,Kyle Andrew,Walker,England,https://media.api-sports.io/football/players/627.png,Manchester City,Defender,33,32,2767,0,4,4200000.0
629,2023,K. De Bruyne,Kevin,De Bruyne,Belgium,https://media.api-sports.io/football/players/629.png,Manchester City,Midfielder,32,21,1235,4,10,21300000.0
631,2023,P. Foden,Philip Walter,Foden,England,https://media.api-sports.io/football/players/631.png,Manchester City,Midfielder,23,37,2874,19,8,29500000.0
635,2023,R. Mahrez,Riyad Karim,Mahrez,Algeria,https://media.api-sports.io/football/players/635.png,Manchester City,Attacker,32,0,0,0,0,4600000.0
636,2023,Bernardo Silva,Bernardo,Mota Veiga de Carvalho e Silva,Portugal,https://media.api-sports.io/football/players/636.png,Manchester City,Midfielder,28,33,2581,6,9,43800000.0
641,2023,O. Zinchenko,Oleksandr,Zinchenko,Ukraine,https://media.api-sports.io/football/players/641.png,Arsenal,Defender,26,32,1730,1,2,10800000.0
643,2023,Gabriel Jesus,Gabriel Fernando,de Jesus,Brazil,https://media.api-sports.io/football/players/643.png,Arsenal,Attacker,26,27,1481,4,5,20900000.0
657,2023,K. Tete,Kenny Joelle,Tete,Netherlands,https://media.api-sports.io/football/players/657.png,Fulham,Defender,27,28,891,1,0,14900000.0
662,2023,T. Ndombélé,Tanguy,Ndombélé Alvaro,France,https://media.api-sports.io/football/players/662.png,Tottenham,Midfielder,26,0,0,0,0,5700000.0
665,2023,M. Cornet,Gnaly Albert Maxwel,Cornet,Côte d'Ivoire,https://media.api-sports.io/football/players/665.png,West Ham,Attacker,26,28,128,1,0,8600000.0
697,2023,M. Solomon,Manor,Solomon,Israel,https://media.api-sports.io/football/players/697.png,Tottenham,Attacker,24,5,198,0,2,14200000.0
723,2023,Joelinton,Joelinton Cássio,Apolinário de Lira,Brazil,https://media.api-sports.io/football/players/723.png,Newcastle,Midfielder,26,20,1282,2,1,12000000.0
727,2023,R. Nelson,Reiss Luke,Nelson,England,https://media.api-sports.io/football/players/727.png,Arsenal,Attacker,23,30,276,0,0,6600000.0
739,2023,Reguilón,Sergio,Reguilón Rodríguez,Spain,https://media.api-sports.io/football/players/739.png,Manchester United,Defender,26,9,410,0,4,8700000.0
742,2023,R. Varane,Raphaël Xavier,Varane,France,https://media.api-sports.io/football/players/742.png,Manchester United,Defender,30,22,1373,1,0,12600000.0
792,2023,J. Kluivert,Justin Dean,Kluivert,Netherlands,https://media.api-sports.io/football/players/792.png,Bournemouth,Attacker,24,38,1942,7,1,31200000.0
842,2023,N. Vlašić,Nikola,Vlašić,Croatia,https://media.api-sports.io/football/players/842.png,West Ham,Midfielder,25,0,0,0,0,6500000.0
855,2023,João Cancelo,João Pedro,Cavaco Cancelo,Portugal,https://media.api-sports.io/football/players/855.png,Manchester City,Defender,29,0,0,0,0,4900000.0
863,2023,R. Bentancur,Rodrigo,Bentancur Colmán,Uruguay,https://media.api-sports.io/football/players/863.png,Tottenham,Midfielder,26,23,1007,1,1,9100000.0
882,2023,David de Gea,David,de Gea Quintana,Spain,https://media.api-sports.io/football/players/882.png,Manchester United,Goalkeeper,32,0,0,0,0,2000000.0
885,2023,E. Bailly,Eric Bertrand,Bailly,Côte d'Ivoire,https://media.api-sports.io/football/players/885.png,Manchester United,Defender,29,0,0,0,0,5800000.0
888,2023,P. Jones,Phil Anthony,Jones,England,https://media.api-sports.io/football/players/888.png,Manchester United,Defender,31,0,0,0,0,2300000.0
891,2023,L. Shaw,Luke Paul Hoare,Shaw,England,https://media.api-sports.io/football/players/891.png,Manchester United,Defender,28,12,962,0,0,12200000.0
894,2023,A. Young,Ashley Simon,Young,England,https://media.api-sports.io/football/players/894.png,Everton,Defender,38,31,2289,0,0,2200000.0
895,2023,J. Garner,James David,Garner,England,https://media.api-sports.io/football/players/895.png,Everton,Midfielder,22,37,3006,1,2,22900000.0
897,2023,M. Greenwood,Mason Will John,Greenwood,England,https://media.api-sports.io/football/players/897.png,Manchester United,Attacker,21,0,0,0,0,4500000.0
899,2023,Andreas Pereira,Andreas Hugo,Hoelgebaum Pereira,Brazil,https://media.api-sports.io/football/players/899.png,Fulham,Midfielder,27,37,2638,3,7,29400000.0
903,2023,S. McTominay,Scott Francis,McTominay,Scotland,https://media.api-sports.io/football/players/903.png,Manchester United,Midfielder,26,34,1919,7,1,27600000.0
907,2023,R. Lukaku,Romelu Menama,Lukaku Bolingoli,Belgium,https://media.api-sports.io/football/players/907.png,Chelsea,Attacker,30,0,0,0,0,6000000.0
908,2023,A. Martial,Anthony Jordan,Martial,France,https://media.api-sports.io/football/players/908.png,Manchester United,Attacker,27,13,445,1,0,10200000.0
909,2023,M. Rashford,Marcus,Rashford,England,https://media.api-sports.io/football/players/909.png,Manchester United,Attacker,25,33,2278,7,2,40400000.0
912,2023,Neto,Norberto,Murara Neto,Brazil,https://media.api-sports.io/football/players/912.png,Bournemouth,Goalkeeper,34,32,2880,0,0,3200000.0
925,2023,Gonçalo Guedes,Gonçalo Manuel,Ganchinho Guedes,Portugal,https://media.api-sports.io/football/players/925.png,Wolves,Attacker,26,0,0,0,0,7200000.0
946,2023,K. Mbabu,Melingo Kevin,Mbabu,Switzerland,https://media.api-sports.io/football/players/946.png,Fulham,Defender,28,0,0,0,0,9800000.0
978,2023,K. Havertz,Kai Lukas,Havertz,Germany,https://media.api-sports.io/football/players/978.png,Arsenal,Attacker,24,37,2639,13,7,67400000.0
1096,2023,D. Szoboszlai,Dominik,Szoboszlai,Hungary,https://media.api-sports.io/football/players/1096.png,Liverpool,Midfielder,22,33,2108,3,2,24900000.0
1100,2023,E. Haaland,Erling,Braut Haaland,Norway,https://media.api-sports.io/football/players/1100.png,Manchester City,Attacker,23,32,2556,27,5,71000000.0
1117,2023,K. Tierney,Kieran,Tierney,Scotland,https://media.api-sports.io/football/players/1117.png,Arsenal,Defender,26,0,0,0,0,5100000.0
1125,2023,R. Christie,Ryan,Christie,Scotland,https://media.api-sports.io/football/players/1125.png,Bournemouth,Midfielder,28,37,2918,0,5,12100000.0
1135,2023,O. Édouard,Odsonne,Édouard,France,https://media.api-sports.io/football/players/1135.png,Crystal Palace,Attacker,25,30,1554,7,0,21500000.0
1145,2023,I. Konaté,Ibrahima,Konaté,France,https://media.api-sports.io/football/players/1145.png,Liverpool,Defender,24,33,1586,0,0,16100000.0
1150,2023,T. Adams,Tyler Shaan,Adams,USA,https://media.api-sports.io/football/players/1150.png,Bournemouth,Midfielder,24,5,118,0,0,7700000.0
1161,2023,E. Smith Rowe,Emile,Smith Rowe,England,https://media.api-sports.io/football/players/1161.png,Arsenal,Midfielder,23,13,346,0,1,6600000.0
1165,2023,Matheus Cunha,Matheus Santos,Carneiro da Cunha,Brazil,https://media.api-sports.io/football/players/1165.png,Manchester United,Attacker,24,32,2453,12,7,69400000.0
1166,2023,T. Werner,Timo,Werner,Germany,https://media.api-sports.io/football/players/1166.png,Tottenham,Attacker,27,13,815,2,3,10500000.0
1231,2023,V. Coufal,Vladimír,Coufal,Czechia,https://media.api-sports.io/football/players/1231.png,West Ham,Defender,30,36,3140,0,7,13900000.0
1243,2023,T. Souček,Tomáš,Souček,Czechia,https://media.api-sports.io/football/players/1243.png,West Ham,Midfielder,28,37,2876,7,2,22100000.0
